,User,MCC Category,TotalSum,TotalVol,Gender,Current Age,Retirement Age,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards,Debt/Income,clusters
0,1.0,Agricultural Services,0.0,0.0,1,53,66,59696,127613,787,5,2.1377144197266147,1
1,1.0,Contracted Services,163.06,1.0,1,53,66,59696,127613,787,5,2.1377144197266147,1
2,1.0,Travel Services,40197.70000000001,243.0,1,53,66,59696,127613,787,5,2.1377144197266147,1
3,1.0,Transportation Services,695.83,17.0,1,53,66,59696,127613,787,5,2.1377144197266147,1
4,1.0,Utility Services,46069.10999999997,358.0,1,53,66,59696,127613,787,5,2.1377144197266147,1
5,1.0,Retail Outlet Services,344224.6999999994,4420.0,1,53,66,59696,127613,787,5,2.1377144197266147,3
6,1.0,Clothing Stores,5821.04,60.0,1,53,66,59696,127613,787,5,2.1377144197266147,1
7,1.0,Miscelleanous Stores,197477.87000000023,2900.0,1,53,66,59696,127613,787,5,2.1377144197266147,3
8,1.0,Business Services,31018.37,494.0,1,53,66,59696,127613,787,5,2.1377144197266147,1
9,1.0,Professional Services and Membership Organizations,5051.629999999999,31.0,1,53,66,59696,127613,787,5,2.1377144197266147,1
10,1.0,Government Services,246.86,9.0,1,53,66,59696,127613,787,5,2.1377144197266147,1
11,2.0,Agricultural Services,0.0,0.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
12,2.0,Contracted Services,451.55999999999995,5.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
13,2.0,Travel Services,59293.33999999999,336.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
14,2.0,Transportation Services,3863.370000000001,89.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
15,2.0,Utility Services,38857.09999999997,385.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
16,2.0,Retail Outlet Services,85581.93999999996,1475.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
17,2.0,Clothing Stores,11049.490000000002,130.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
18,2.0,Miscelleanous Stores,81039.27000000003,1213.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
19,2.0,Business Services,42211.350000000006,540.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
20,2.0,Professional Services and Membership Organizations,12376.470000000001,31.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
21,2.0,Government Services,1168.52,72.0,1,53,68,77254,191349,701,5,2.4768814559763896,2
22,3.0,Agricultural Services,0.0,0.0,1,81,67,33483,196,698,5,0.005853716811516292,0
23,3.0,Contracted Services,152.69,1.0,1,81,67,33483,196,698,5,0.005853716811516292,0
24,3.0,Travel Services,35878.21,234.0,1,81,67,33483,196,698,5,0.005853716811516292,0
25,3.0,Transportation Services,22813.85999999999,225.0,1,81,67,33483,196,698,5,0.005853716811516292,0
26,3.0,Utility Services,44062.67000000001,606.0,1,81,67,33483,196,698,5,0.005853716811516292,0
27,3.0,Retail Outlet Services,75552.25,6805.0,1,81,67,33483,196,698,5,0.005853716811516292,0
